Reaction_Name,Gene_ID,Pathway,Metabolite_ID,name,formula,charge,"formula, neutral",KEGG ID,CAS number   
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG041,Transport,acgam,N-Acetyl-D-glucosamine,C8H15NO6,0.0,,C00140,7512-17-6
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG041,Transport,pep,Phosphoenolpyruvate,C3H2O6P,-3.0,C3H5O6P,C00074,138-08-9
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG041,Transport,acgam6p,N-Acetyl-D-glucosamine 6-phosphate,C8H14NO9P,-2.0,C8H16NO9P,C00357,102029-88-9
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG041,Transport,pyr,Pyruvate,C3H3O3,-1.0,C3H4O3,C00022,127-17-3
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG429,Transport,acgam,N-Acetyl-D-glucosamine,C8H15NO6,0.0,,C00140,7512-17-6
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG429,Transport,pep,Phosphoenolpyruvate,C3H2O6P,-3.0,C3H5O6P,C00074,138-08-9
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG429,Transport,acgam6p,N-Acetyl-D-glucosamine 6-phosphate,C8H14NO9P,-2.0,C8H16NO9P,C00357,102029-88-9
N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,MG429,Transport,pyr,Pyruvate,C3H3O3,-1.0,C3H4O3,C00022,127-17-3
acetate kinase,MG357,Carbohydrates and related molecules,ac,Acetate,C2H3O2,-1.0,C2H4O2,C00033,71-50-1
acetate kinase,MG357,Carbohydrates and related molecules,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
acetate kinase,MG357,Carbohydrates and related molecules,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
acetate kinase,MG357,Carbohydrates and related molecules,actp,Acetyl phosphate,C2H3O5P,-2.0,C2H5O5P,C00227,19926-71-7
adenylate kinase,MG171,Nucleotide Metabolism,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
adenylate kinase,MG171,Nucleotide Metabolism,atp,ATP,C10H12N5O13P3,-4.0,C10H16N5O13P3,C00002,56-65-5
adenylate kinase,MG171,Nucleotide Metabolism,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
adenylate kinase (Inorganic triphosphate),MG171,Nucleotide Metabolism,pppi,Inorganic triphosphate,HO10P3,-4.0,H5O10P3,C03279,
adenylate kinase (Inorganic triphosphate),MG171,Nucleotide Metabolism,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
adenylate kinase (Inorganic triphosphate),MG171,Nucleotide Metabolism,adp,ADP,C10H12N5O10P2,-3.0,C10H15N5O10P2,C00008,58-64-0
adenylate kinase (Inorganic triphosphate),MG171,Nucleotide Metabolism,ppi,Diphosphate,HO7P2,-3.0,H4O7P2,C00013,2466-09-03 00:00:00
adenine phosphoribosyltransferase,MG276,Nucleotide Metabolism,prpp,5-Phospho-alpha-D-ribose 1-diphosphate,C5H8O14P3,-5.0,C5H13O14P3,C00119,
adenine phosphoribosyltransferase,MG276,Nucleotide Metabolism,amp,AMP,C10H12N5O7P,-2.0,C10H14N5O7P,C00020,61-19-8
adenine phosphoribosyltransferase,MG276,Nucleotide Metabolism,ade,Adenine,C5H5N5,0.0,,C00147,73-24-5
adenine phosphoribosyltransferase,MG276,Nucleotide Metabolism,ppi,Diphosphate,HO7P2,-3.0,H4O7P2,C00013,2466-09-03 00:00:00
1-acylglycerol-3-phosphate O-acyltransferase,MG212,Lipid & Cell Membrane Metabolism,acoa,Acyl-CoA,C22H31N7O17P3RS,-4.0,C22H35N7O17P3RS,C00040,
1-acylglycerol-3-phosphate O-acyltransferase,MG212,Lipid & Cell Membrane Metabolism,12dag3p,"1,2-Diacyl-sn-glycerol 3-phosphate",C5H5O8PR2,-2.0,C5H7O8PR2,C00416,
