Abbreviation,Name,"Equation (note [c] and [e] at the beginning refer to the compartment 
the reaction takes place in, cytosolic and extracellular respectively)",Subsystem,Protein Classification,Locus name
ACGApts,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS,acgam[e] + pep[c] --> acgam6p[c] + pyr[c],Transport,,MG041 and MG429
ACKr,acetate kinase,[c] : ac + atp <==> actp + adp,Carbohydrates and related molecules,EC-2.7.2.1,MG357
ACOAt,Acyl Coenzyme A transport,acoa[e] --> acoa[c],Transport,,
ACt6,acetate transport in/out via proton symport,ac[e] + h[e] <==> ac[c] + h[c],Transport,TC-2.A.1.13,
ADEt2,adenine transport via proton symport (reversible),ade[e] + h[e] <==> ade[c] + h[c],Transport,,
ADK1,adenylate kinase,[c] : amp + atp <==> (2) adp,Nucleotide Metabolism,EC-2.7.4.3,MG171
ADK2,adenylate kinase (Inorganic triphosphate),[c] : amp + pppi <==> adp + ppi,Nucleotide Metabolism,EC-2.7.4.3,MG171
ADPT,adenine phosphoribosyltransferase,[c] : ade + prpp --> amp + ppi,Nucleotide Metabolism,EC-2.4.2.7,MG276
AGPAT,1-acylglycerol-3-phosphate O-acyltransferase,[c] : 1ag3p + acoa --> 12dag3p + coa,Lipid & Cell Membrane Metabolism,EC-2.3.1.51,MG212
AKGD,2-oxoglutarate dehydrogenase,[c] : akg + coa + nad --> co2 + nadh + succoa,Carbohydrates and related molecules,,MG271
AKGt2,2-oxoglutarate transport in via proton symport,akg[e] + h[e] --> akg[c] + h[c],Transport,TC-2.A.1.6,
ALATRS,Alanyl-tRNA synthetase,[c] : ala-L + atp + trnaala --> alatrna + amp + ppi,Alanine Metabolism,EC-6.1.1.7,MG292
ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD)",[c] : acald + h2o + nad <==> ac + (2) h + nadh,Carbohydrates and related molecules,EC-1.2.1.3,
ALDD2y,"aldehyde dehydrogenase (acetaldehyde, NADP)",[c] : acald + h2o + nadp <==> ac + (2) h + nadph,Carbohydrates and related molecules,EC-1.2.1.4,
AMPEP1,aminopeptidase,[c] :  ala-L-asp-L + h2o <==> ala-L + asp-L,Amino acids and related molecules,,
